站點名稱,城市名稱,aqi,狀態
基隆,基隆市,54,普通
汐止,新北市,62,普通
新店,新北市,58,普通
土城,新北市,56,普通
板橋,新北市,66,普通
新莊,新北市,63,普通
菜寮,新北市,57,普通
林口,新北市,61,普通
淡水,新北市,55,普通
士林,臺北市,53,普通
中山,臺北市,63,普通
萬華,臺北市,59,普通
古亭,臺北市,57,普通
松山,臺北市,65,普通
大同,臺北市,67,普通
桃園,桃園市,55,普通
大園,桃園市,59,普通
觀音,桃園市,58,普通
平鎮,桃園市,58,普通
龍潭,桃園市,48,良好
湖口,新竹縣,55,普通
竹東,新竹縣,42,良好
新竹,新竹市,57,普通
頭份,苗栗縣,52,普通
苗栗,苗栗縣,52,普通
三義,苗栗縣,44,良好
豐原,臺中市,46,良好
沙鹿,臺中市,57,普通
大里,臺中市,48,良好
忠明,臺中市,50,良好
西屯,臺中市,53,普通
彰化,彰化縣,57,普通
線西,彰化縣,60,普通
二林,彰化縣,78,普通
南投,南投縣,,
斗六,雲林縣,75,普通
崙背,雲林縣,70,普通
新港,嘉義縣,69,普通
朴子,嘉義縣,72,普通
臺西,雲林縣,64,普通
嘉義,嘉義市,73,普通
新營,臺南市,77,普通
善化,臺南市,74,普通
安南,臺南市,82,普通
臺南,臺南市,86,普通
美濃,高雄市,77,普通
橋頭,高雄市,93,普通
仁武,高雄市,81,普通
鳳山,高雄市,95,普通
大寮,高雄市,96,普通
林園,高雄市,105,對敏感族群不健康
楠梓,高雄市,89,普通
左營,高雄市,95,普通
前金,高雄市,92,普通
前鎮,高雄市,92,普通
小港,高雄市,95,普通
屏東,屏東縣,71,普通
潮州,屏東縣,90,普通
恆春,屏東縣,43,良好
臺東,臺東縣,64,普通
花蓮,花蓮縣,37,良好
陽明,臺北市,41,良好
宜蘭,宜蘭縣,42,良好
冬山,宜蘭縣,52,普通
三重,新北市,71,普通
中壢,桃園市,63,普通
竹山,南投縣,66,普通
永和,新北市,61,普通
復興,高雄市,87,普通
埔里,南投縣,63,普通
馬祖,連江縣,72,普通
金門,金門縣,77,普通
馬公,澎湖縣,63,普通
關山,臺東縣,43,良好
麥寮,雲林縣,68,普通
富貴角,新北市,65,普通
大城,彰化縣,65,普通
員林,彰化縣,55,普通
宜蘭（三星）,宜蘭縣,25,良好
高雄（湖內）,高雄市,88,普通
南投（鹿谷）,南投縣,63,普通
屏東（琉球）,屏東縣,89,普通
台中市（和平區）,臺中市,43,良好
新北(樹林),新北市,59,普通
臺南（南化）,臺南市,69,普通
屏東(枋山),屏東縣,58,普通
